"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GCEQWRG4","book","2009","Ōtomo, Katsuhiro; Duffy, Jo","Akira","","978-1-935429-00-5 978-1-935429-02-9 978-1-935429-04-3 978-1-935429-06-7 978-1-935429-07-4 978-1-935429-08-1","","","","In Neo-Tokyo, built on the former site of Tokyo after World War III, two teenagers are targeted by agencies after they develop paranormal abilities","2009","2025-03-21 18:59:02","2025-03-24 18:59:27","","","6","","","","","","","","","","Kodansha Comics","New York","eng","","","","","Library Catalog (Blacklight)","PN6790.J3 O86 2009","OCLC: 326533804","","","https://catalog.libraries.psu.edu/catalog/9179381","physical; interlibrary","Comic books, strips, etc; Cyberpunk comics; Dystopian comics; Graphic novels; Japan; Japan Tokyo; Psychic ability; Science fiction comic books, strips, etc; Science fiction comics; Teenagers; Tokyo; Tokyo (Japan)","","","Umezawa, Yoko; York, Linda M.","","","","","","","","","","","","","","","","","1st ed. (vol. 2-6)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAQ6XST4","book","2017","Sanbe, Kei; Drzka, Sheldon; Blackman, Abigail","Erased","","978-0-316-55331-5 978-0-316-46844-2 978-0-316-46845-9 978-0-316-46846-6","","","","""Twenty-nine-year-old Satoru Fujinuma is floundering through life. Amid his daily drudgery, he finds himself in the grip of an incredible, inexplicable, and uncontrollable phenomenon that rewinds time, a condition that seems to only make his drab life worse. But then, one day, everything changes. A terrible incident forever changes Satoru's life as he knows it ... and with it, comes a ""Revival"" that sends Satoru eighteen years into the past! In the body of his boyhood self, Satoru encounters sights he never imagined he would see again--the smile of his mother, alive and well, his old friends, and Kayo Hinazuki, the girl who was kidnapped and murdered when he was a boy the first time around. To return to the present and prevent the tragedy that brought him back to his childhood in the first place, Satoru begins plotting a way to change Hinazuki's fate ... But up against the clock and a faceless evil, does eleven-year-old Satoru even stand a chance?""--Provided by publisher","2017","2025-03-21 19:03:49","2025-03-24 18:59:58","","","","","","","","","","","","","Yen Press","New York, NY","eng","","","","","Library Catalog (Blacklight)","PN6790.J33 S3413 2017","OCLC: 972733623","","","https://catalog.libraries.psu.edu/catalog/22860658","physical; interlibrary","Comic books, strips, etc; Graphic novels; Japan; Comics (Graphic works); COMICS & GRAPHIC NOVELS / Manga / Science Fiction; Crimes against Prevention; Man-woman relationship; Man-woman relationships; Offenses against the person; Prevention; Time travel; Translations; Translations into English; Women","","","","","","","","","","","","","","","","","","","","First Yen Press edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPLAI59V","book","2008","Hiroe, Rei","Black Lagoon","","978-1-4215-1382-9 978-1-4215-1891-6 978-1-4215-1892-3 978-1-4215-1893-0 978-1-4215-1894-7 978-1-4215-1981-4 978-1-4215-2456-6 978-1-4215-2779-6 978-1-4215-3629-3 978-1-4215-7772-2","","","","","2008","2025-03-21 19:09:35","2025-03-24 18:59:39","","","","","","","","","Viz signature","","","","Viz Media","San Francisco","","","","","","Library Catalog (Blacklight)","","OCLC: 1033662389","","","https://catalog.libraries.psu.edu/catalog/22860471","physical; interlibrary","Comic books, strips, etc; Graphic novels; Comics (Graphic works); Assassins; Mercenary troops; Organized crime; Pirates; Smuggling; Southeast Asia; Torpedo-boats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCKCFJHC","book","2021","Itō, Junji; Allen, Jocelyne; Erbes, Eric; Washington, Masumi; Itō, Junji","Lovesickness","","978-1-9747-1984-6","","","","""Ryusuke returns to the town he once lived in because rumors are swirling about girls killing themselves after encountering a bewitchingly handsome young man. Harboring his own secret from time spent in this town, Ryusuke attempts to capture the beautiful boy and close the case... Starting with the strikingly bloody 'Lovesickness,' this volume collects ten stories showcasing horror master Junji Ito in peak form, including 'The Strange Hikizuri Siblings' and 'The Rib Woman.'""--Provided by publisher","2021","2025-03-21 19:12:51","2025-03-24 19:00:03","","","402","","","","","","Junji Ito story collection","","","","VIZ Media, LLC","San Francisco, CA","eng","","","","","Library Catalog (Blacklight)","PN6790.J33 I86413 2021","OCLC: 1242806746","","","https://catalog.libraries.psu.edu/catalog/42253435","physical; interlibrary","Comic books, strips, etc; Graphic novels; Comics (Graphic works); Bandes dessinées; Bandes dessinées d'horreur; COMICS & GRAPHIC NOVELS / Diversity & Multicutural; Homecoming; Horror comic books, strips, etc; Horror comics; Nouvelles; Retour au foyer; Short stories; Suicide; Supernatural; Surnaturel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6FTALDE","book","2023","Higa, Susumu; Allen, Jocelyne","Okinawa","","978-1-68396-118-5","","","","""This heartbreaking manga, by an award-winning cartoonist, examines the history of Okinawa and its military occupation. An essential manga classic presented in English for the first time""--","2023","2025-03-24 14:21:56","2025-03-24 19:00:08","","","529","","","","","","","","","","Fantagraphics Books","Seattle, Washington","eng","","","","","Library Catalog (Blacklight)","PN6790.J33 H52313 2023","OCLC: 1005693147","","","https://catalog.libraries.psu.edu/catalog/43665803","physical; interlibrary","Comic books, strips, etc; Graphic novels; Japan; Comics (Graphic works); Translations; Bandes dessinées; 1939-1945; 20e siècle; 20th century; Bandes dessinées de guerre; Bandes dessinées historiques; Guerre mondiale, 1939-1945; Histoire; Historical comics; History; Îles; interviews; Interviews; Islands; Japan Okinawa Island; Japon Okinawa (Île); Manga; manga (comic books); Manga (Comic books); Mangas; Military occupation; Occupation militaire; Okinawa (Japon : Ken); Okinawa Island; Okinawa-ken (Japan); Okinawa-shi (Japan); War comics; World War, 1939-1945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UX95KFB","book","2017","Fuse; Kawakami, Taiki; Mitz Vah; Paul, Stephen","That time I got reincarnated as a slime","","978-0-316-41420-3 978-1-9753-0111-8 978-1-9753-0113-2 978-1-9753-0114-9 978-1-9753-0116-3 978-1-9753-0118-7 978-1-9753-0120-0 978-1-9753-1299-2 978-1-9753-1437-8 978-1-9753-1439-2 978-1-9753-1441-5 978-1-9753-1443-9 978-1-64651-232-4 978-1-9753-1445-3 978-1-9753-1447-7 978-1-9753-1449-1","","","","""Living alone and never having had a girlfriend, 37-year-old Satoru Mikami is dissatisfied with how his life has turned out. But after dying at the hands of a robber, he awakens to a fresh start in a new world ... as a slime monster""--","2017","2025-03-24 14:22:41","2025-03-24 19:00:26","","","","","","","","","","","","","Kodansha Comics","New York","eng","","","","","Library Catalog (Blacklight)","PN6790.J33 F874 2017","OCLC: 989965522","","","https://catalog.libraries.psu.edu/catalog/25363762","physical; interlibrary","Comic books, strips, etc; Graphic novels; Comics (Graphic works); Bandes dessinées; Comic books; Comic strips; COMICS & GRAPHIC NOVELS; Fantasy fiction; Imaginary places; Lieux imaginaires; Manga Fantasy; Monsters; Monstres; Reincarnation; Réincarnation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A3JDRXSP","book","2015","ONE; Murata, Yusuke","One-Punch Man","","978-1-4215-8564-2 978-1-5182-0986-4 978-1-4215-8565-9 978-1-4215-6461-6 978-1-4215-6920-8 978-1-4215-6954-3 978-1-4215-8527-7 978-1-4215-8528-4 978-1-4215-8656-4 978-1-4215-8657-1 978-1-4215-9015-8 978-1-4215-9226-8 978-1-4215-9620-4 978-1-4215-9806-2 978-1-9747-0043-1","","","","""Every time a promising villain appears, Saitama beats the snot out of 'em with one punch! Can he finally find an opponent who can go toe-to-toe with him and give his life some meaning? Or is he doomed to a life of superpowered boredom?""--","2015","2025-03-24 14:23:38","2025-03-24 19:00:21","","","","","","","","","","","","","Viz Media","San Francisco, CA","eng","","","","","Library Catalog (Blacklight)","PN6790.J34 W3613 2015","OCLC: 919319539","","","https://catalog.libraries.psu.edu/catalog/22860783","physical; interlibrary","Comic books, strips, etc; Graphic novels; Japan; Comics (Graphic works); Translations; Translations into English; COMICS & GRAPHIC NOVELS; Monsters; Cartoons and comics; Fiction; Cyborgs; Manga Media Tie-In; Manga Science Fiction; Muscle strength; Superhero comic books, strips, etc; Superheroes","","","","","","","","","","","","","","","","","","","","Shonen Jump Manga edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJI2Q4IA","book","2014","Matsui, Yūsei; Miyaki, Tetsuichiro; Turnage, Bryant; Dutro, Steve","Assassination classroom","","978-1-4215-7607-7 978-1-4215-7608-4 978-1-4215-7609-1 978-1-4215-7610-7 978-1-4215-7611-4 978-1-4215-7612-1 978-1-4215-7613-8 978-1-4215-8280-1 978-1-4215-8281-8 978-1-4215-8322-8 978-1-4215-8323-5 978-1-5182-1414-1 978-1-4215-8324-2 978-1-4215-8444-7 978-1-5182-3856-7 978-1-4215-8505-5 978-1-4215-8641-0 978-1-4215-9091-2 978-1-4215-9092-9 978-1-4215-9093-6 978-1-4215-9337-1 978-1-4215-9338-8 978-1-4215-9339-5","","","","The students in Class 3-E of Kunugigaoka Junior High have a new teacher: an alien octopus with bizarre powers and unlimited strength, who's just destroyed the moon and is threatening to destroy the earth--unless they can kill him first!","2014","2025-03-24 14:24:19","2025-03-24 18:59:33","","","21","","","","","","Shonen Jump advanced","","","","Viz Media, LLC","San Francisco, CA","eng","","","","","Library Catalog (Blacklight)","PN6790.J33 M385313 2014","OCLC: 897205399","","","https://catalog.libraries.psu.edu/catalog/22860684","physical; interlibrary","Comic books, strips, etc; Graphic novels; Science fiction comic books, strips, etc; Comics (Graphic works); Assassins; COMICS & GRAPHIC NOVELS; Fiction; Young adult works; Manga Media Tie-In; Manga Science Fiction; Assassination; Attempted assassination; Extraterrestrial beings; Schools; Students; Teachers; Young adult fiction","","","","","","","","","","","","","","","","","","","","Shonen jump advanced manga edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMEBAKME","book","2014","Ashihara, Daisuke; Olsen, Lillian","World trigger","","978-1-4215-7764-7 978-1-4215-7765-4 978-1-4215-7766-1 978-1-4215-7767-8 978-1-4215-7768-5 978-1-4215-7913-9 978-1-4215-8032-6 978-1-4215-8125-5 978-1-4215-8268-9 978-1-4215-8447-8 978-1-4215-8519-2 978-1-4215-8708-0 978-1-4215-9044-8 978-1-4215-9064-6 978-1-4215-9258-9 978-1-4215-9332-6 978-1-4215-9623-5 978-1-4215-9756-0","","","","Earth is under constant threat from Neighbors, invincible monsters from another dimension that destroy our way of life. At least we have the elite warriors of Border, who co-opt alien technology to fight back. Our hero Osami Mikumo may not be the best agent, but he'll do whatever it takes to defend life on Earth as we know it","2014","2025-03-24 14:46:26","2025-03-24 19:00:31","","","","","","","","","Shonen Jump manga","","","","Viz Media, LLC","San Francisco, Calif","eng","","","","","Library Catalog (Blacklight)","PZ7.7.A84 Wo 2014 v. 1","OCLC: 985647745","","","https://catalog.libraries.psu.edu/catalog/22860459","physical; interlibrary","Comic books, strips, etc; Graphic novels; Science fiction comic books, strips, etc; Comics (Graphic works); Manga; Extraterrestrial beings; Good and evil","","","","","","","","","","","","","","","","","","","","Shonen Jump manga edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N6YN2BQL","book","2005","Ōba, Tsugumi; Obata, Takeshi; Rolf, Pookie","Death note","","978-1-4215-0168-0 978-1-4215-0169-7 978-1-4215-0170-3 978-1-4156-4241-2 978-1-4215-0331-8 978-1-4215-0626-5 978-1-4215-0627-2 978-1-4215-0628-9 978-1-4215-0629-6 978-1-4215-0630-2 978-1-4215-1155-9 978-1-4215-1178-8 978-1-4215-1327-0 978-1-4215-1888-6","","","","When high school student Light Yagami finds the Death Note, a notebook dropped by a Shinigami death god, he discovers that any person whose name is written in it dies, so Light decides to use the notebook to rid the world of evil","2005","2025-03-24 14:49:19","2025-03-24 18:59:45","","","","","","","","","Shonen Jump advanced manga ed","","","","Viz Media","San Francisco","","","","","","Library Catalog (Blacklight)","PN6790.J33 O23 2005","OCLC: 86110238","","","https://catalog.libraries.psu.edu/catalog/22860643","physical; interlibrary","Graphic novels; Students; Good and evil; Comic books, strips, etc. Juvenile fiction; Criminals; Death; Death (Personification); Fantasy comic books, strips, etc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
