word	nodeType	unit
sixth	ADJ	vol-10
whole	ADJ	vol-10
small	ADJ	vol-10
bottom	ADJ	vol-10
upper	ADJ	vol-10
other	ADJ	vol-10
cute	ADJ	vol-10
main	ADJ	vol-10
short	ADJ	vol-10
same	ADJ	vol-10
cut	ADJ	vol-10
funny	ADJ	vol-10
full	ADJ	vol-10
chinese	ADJ	vol-10
fine	ADJ	vol-10
o:[decorative	ADJ	vol-10
real	ADJ	vol-10
deep	ADJ	vol-10
decorative	ADJ	vol-10
pointless	ADJ	vol-10
more	ADJ	vol-10
legendary	ADJ	vol-10
first	ADJ	vol-10
favorite	ADJ	vol-10
little	ADJ	vol-10
sudden	ADJ	vol-10
careful	ADJ	vol-10
final	ADJ	vol-10
right	ADJ	vol-10
tall	ADJ	vol-10
certain	ADJ	vol-10
unyielding	ADJ	vol-10
right	ADJ	vol-10
new	ADJ	vol-10
good	ADJ	vol-10
right	ADJ	vol-10
good	ADJ	vol-10
glad	ADJ	vol-10
crazy	ADJ	vol-10
crazy	ADJ	vol-10
old	ADJ	vol-10
big	ADJ	vol-10
strong	ADJ	vol-10
straight	ADJ	vol-10
wonderful	ADJ	vol-10
gigantic	ADJ	vol-10
nice	ADJ	vol-10
little	ADJ	vol-10
terrible	ADJ	vol-10
dreadful	ADJ	vol-10
many	ADJ	vol-10
great	ADJ	vol-10
many	ADJ	vol-10
ridiculous	ADJ	vol-10
frequent	ADJ	vol-11
entire	ADJ	vol-11
key	ADJ	vol-4
old	ADJ	vol-4
old	ADJ	vol-4
old	ADJ	vol-4
old	ADJ	vol-4
old	ADJ	vol-4
weird	ADJ	vol-4
weird	ADJ	vol-4
mysterious	ADJ	vol-4
cool	ADJ	vol-4
other	ADJ	vol-4
last	ADJ	vol-4
correct	ADJ	vol-4
cruel	ADJ	vol-4
real	ADJ	vol-4
real	ADJ	vol-4
long	ADJ	vol-4
same	ADJ	vol-4
actual	ADJ	vol-4
nervous	ADJ	vol-4
stupid	ADJ	vol-4
weird	ADJ	vol-4
normal	ADJ	vol-4
new	ADJ	vol-4
special	ADJ	vol-4
big	ADJ	vol-4
interesting	ADJ	vol-4
dead	ADJ	vol-4
high	ADJ	vol-4
high	ADJ	vol-4
Most	ADJ	vol-4
good	ADJ	vol-4
real	ADJ	vol-4
axe	ADJ	vol-4
